cleaned_text,label,emotion
اعتذر ان بدالك شي غير اني احبك,1,love
من بين مجاميع زفه عفش العروسه اللي راحوا يمثلونا في الاوليمبياد اتنين بس فلتوا من الكمين شكرا ليكم ساره سمير,0,joy
الدموع ليست هي الحزن هو ان تستطيع ان تمنع نفسك من ان تبكي امام احد من اجل هذا الاحد,2,sad
ارسمك في عيني علي حزه اشوق ويا زين حالي يوم اشوفك بععيني خواطر غزل,1,love
فلسطين يوم ما دخلوا اليهود ارضك زعلوا العرب خافوا العرب نسيوا العرب اتكسف صخر الجبل هيج رماله,2,sad
يا جدع حرام عليك دي هي روح الاوليمبياد,2,sad
الحب مفتاح العطاء بس اقول همسه,1,love
مش متابعه الاوليمبياد اوي بس مبسوطه ان فيه كذا حد مش صغير بيكسب ضد ال,0,joy
بس باين عليك لي هلبا في لبنان,0,joy
كلمه حق تغطيه بي ان سبورت لمنافسات الاوليمبياد اكثر من ممتازه قمه في الاحترافيه لهم الف شكر,0,joy
ان واحده تروح الاوليمبياد وهي في فريق اللاجئين و تكسب وتوصل ده توجع القلب الناس دي قويه اوي,2,sad
ياريت لاعب خلوق وفاهم زمايله حتي لو يترشح في الجهاز الفني تريكه مديرا فنيا للاهلي,0,joy
عن انساانه دخلت قلبي وحبيتهاااا من غير مكلمهااا في حد ذاااته,1,love
خلص وصلت الفكرا شكرا لانك اثبتلي اني مليش حظ,2,sad
ادم قليل من يصدق منهم في حبه وعظيم هو ان عشق ادم حقيقه بقلمي الرجل حب صدق هو,1,love
مظلومه الحلبه والله حلبه حصا,2,sad
من اروع ما شاهدته هذا اليوم قمه الابداع من البوم قديمه و الجديد كليبياس حبي عبدالعزيز المرشدي صوت الشمال,0,joy
علمتني احب الدنيا علمتني احب وانسي معك هموم الدنيا و المشوار الصعب لايفهم الكلام الاول,1,love
العفو اللي صعبان عليا كمان الناس اللي شقيوا عشان يامنوا مستقبل ولادهم وفي الاخر تحويشه العمر مش هتساوي نص قيمتها,2,sad
ليس من الحب ان تتغافلوا عن الزلات بل ان تغفروها,1,love
عن احساسك وانت مش عايز حد جنبك ولا حتي يهتم بيك اكتفيت بنفسك وعايز تبعد عن كل الناس,2,sad
ويسعدكم اجمعين امين يارب,0,joy
اعمق من مجرد لقاء او حتي اطراء الحب تضحيه وعطاء الحب استدامه وبقاء,1,love
لو روحت الاهلي يا محمد يا ابراهيم ابقي سلم علي اينو و صبري و طارق السعيد و محمد صديق يوصل ان شاء الله,0,joy
